,time,clear_sky_rad:W,clear_sky_energy_1h:J,sun_elevation:d,is_day:idx,direct_rad_1h:J,pv_measurement,diffuse_rad_1h:J,pressure_100m:hPa
0,2019-01-01 00:00:00,0.0,0.0,-48.319252,0.0,0.0,0.0,0.0,974.1
1,2019-01-01 01:00:00,0.0,0.0,-44.91975,0.0,0.0,0.0,0.0,973.25
2,2019-01-01 02:00:00,0.0,0.0,-39.864,0.0,0.0,0.0,0.0,973.05
3,2019-01-01 03:00:00,0.0,0.0,-33.769,0.0,0.0,0.0,0.0,973.35
4,2019-01-01 04:00:00,0.0,0.0,-27.1675,0.0,0.0,0.0,0.0,973.875
5,2019-01-01 05:00:00,0.0,0.0,-20.4885,0.0,0.0,0.0,0.0,974.725
6,2019-01-01 06:00:00,0.0,0.0,-14.09075,0.0,0.0,0.0,0.0,975.9
7,2019-01-01 07:00:00,0.0,0.0,-8.29225,0.0,0.0,0.0,0.0,977.4
8,2019-01-01 08:00:00,0.0,0.0,-3.3895001,0.0,0.0,0.0,0.0,979.575
9,2019-01-01 09:00:00,4.1,2996.1,0.3445,0.75,0.0,0.0,1558.05,982.775
10,2019-01-01 10:00:00,20.325,44535.773,2.679,1.0,35.125,0.8625,7737.4,985.6
11,2019-01-01 11:00:00,27.075,89322.33,3.45525,1.0,78.4,10.35,16069.925,987.75
12,2019-01-01 12:00:00,19.85,88372.73,2.61825,1.0,339.0,5.175,22525.35,989.475
13,2019-01-01 13:00:00,3.725,42508.625,0.2275,0.5,295.75,0.8625,15296.15,991.8
14,2019-01-01 14:00:00,0.0,2611.825,-3.55525,0.0,0.0,0.0,2661.4,994.95
15,2019-01-01 15:00:00,0.0,0.0,-8.49675,0.0,0.0,0.0,0.0,997.75
16,2019-01-01 16:00:00,0.0,0.0,-14.3235,0.0,0.0,0.0,0.0,1000.4
17,2019-01-01 17:00:00,0.0,0.0,-20.737751,0.0,0.0,0.0,0.0,1002.8
18,2019-01-01 18:00:00,0.0,0.0,-27.42,0.0,0.0,0.0,0.0,1004.9
19,2019-01-01 19:00:00,0.0,0.0,-34.01125,0.0,0.0,0.0,0.0,1006.675
20,2019-01-01 20:00:00,0.0,0.0,-40.07725,0.0,0.0,0.0,0.0,1008.15
21,2019-01-01 21:00:00,0.0,0.0,-45.0825,0.0,0.0,0.0,0.0,1009.44995
22,2019-01-01 22:00:00,0.0,0.0,-48.40675,0.0,0.0,0.0,0.0,1010.6
23,2019-01-01 23:00:00,0.0,0.0,-49.50375,0.0,0.0,0.0,0.0,1011.95
24,2019-01-02 00:00:00,0.0,0.0,-48.25625,0.0,0.0,0.0,0.0,1013.3
25,2019-01-02 01:00:00,0.0,0.0,-44.8755,0.0,0.0,0.0,0.0,1014.5
26,2019-01-02 02:00:00,0.0,0.0,-39.833252,0.0,0.0,0.0,0.0,1015.2
27,2019-01-02 03:00:00,0.0,0.0,-33.74625,0.0,0.0,0.0,0.0,1015.675
28,2019-01-02 04:00:00,0.0,0.0,-27.14725,0.0,0.0,0.0,0.0,1015.975
