pv_measurement,absolute_humidity_2m:gm3,air_density_2m:kgm3,clear_sky_energy_1h:J,clear_sky_rad:W,dew_point_2m:K,diffuse_rad:W,diffuse_rad_1h:J,direct_rad:W,direct_rad_1h:J,effective_cloud_cover:p,elevation:m,is_day:idx,is_in_shadow:idx,msl_pressure:hPa,pressure_100m:hPa,pressure_50m:hPa,relative_humidity_1000hPa:p,sfc_pressure:hPa,snow_water:kgm2,sun_azimuth:d,sun_elevation:d,super_cooled_liquid_water:kgm2,t_1000hPa:K,total_cloud_cover:p,visibility:m,wind_speed_10m:ms,wind_speed_u_10m:ms,wind_speed_v_10m:ms
0.0,8.35,1.233,0.0,0.0,281.275,0.0,0.0,0.0,0.0,100.0,6.0,0.0,1.0,1000.6,988.05,994.05,92.674995,1000.15,0.47500002,347.82275,-39.06525,0.0,284.67502,100.0,20712.525,0.7,-0.32500002,0.65
0.0,8.1,1.234,0.0,0.0,280.85,0.0,0.0,0.0,0.0,100.0,6.0,0.0,1.0,999.525,987.0,993.0,92.95,999.075,0.7,96.74825,-39.38225,0.0,284.325,100.0,5624.175,0.775,0.425,0.525
0.0,8.15,1.22975,0.0,0.0,280.925,0.0,0.0,0.0,0.0,100.0,6.0,0.0,1.0,996.975,984.425,990.425,89.2,996.475,1.175,24.241001,-38.0405,0.2,283.875,100.0,3240.425,1.5,1.05,0.975
0.0,8.2,1.2285,0.0,0.0,281.05,0.0,0.0,0.0,0.0,100.0,6.0,0.0,1.0,996.35,983.85,989.85,90.175,995.85,0.875,41.83075,-34.3905,0.25,284.35,100.0,3243.5,1.575,1.0,1.2
0.0,8.375,1.227,0.0,0.0,281.34998,0.0,0.0,0.0,0.0,100.0,6.0,0.0,1.0,996.175,983.6,989.57495,92.325,995.6,1.0,57.993248,-29.26875,0.25,284.525,100.0,2528.45,2.1999998,1.825,1.1750001
0.0,8.55,1.22325,0.0,0.0,281.7,0.0,0.0,0.0,0.0,100.0,6.0,0.0,1.0,996.35,983.85,989.775,90.8,995.8,1.25,72.8525,-23.1805,0.35000002,284.65,100.0,2222.025,4.55,4.25,1.625
0.0,8.75,1.221,0.0,0.0,282.1,0.0,0.0,0.0,0.0,100.0,6.0,0.0,1.0,997.05,984.475,990.45,88.525,996.45,1.2,86.76725,-16.59075,0.22500001,284.45,100.0,2160.275,6.875,6.725,0.925
0.0,8.5,1.2260001,0.0,0.0,281.625,0.0,0.0,0.0,0.0,100.0,6.0,0.0,1.0,998.425,985.8,991.8,91.6,997.825,0.6,100.15575,-9.907,0.22500001,283.025,100.0,3682.4502,5.6,5.3,-1.9
0.0,8.05,1.231,0.0,0.0,280.75,0.0,0.0,0.0,0.0,100.0,6.0,0.0,1.0,1000.05,987.375,993.4,92.0,999.45,0.1,113.41,-3.4950001,0.32500002,281.95,100.0,9446.074,4.7,4.3250003,-1.875
34.76,7.825,1.23325,18853.3,17.775,280.35,5.75,10351.05,0.55,1003.6,97.175,6.0,1.0,0.5,1001.6,988.8,994.9,91.5,1000.9,0.0,126.8545,2.2975001,0.32500002,281.55,97.175,18019.574,4.8,4.375,-1.925
248.59999999999997,7.45,1.2365,157293.6,72.875,279.675,26.625,58293.67,15.950001,29753.375,88.925,6.0,1.0,0.0,1003.35,990.55,996.65,89.1,1002.65,0.0,140.71375,7.13375,0.125,281.025,88.925,28415.125,4.95,4.3,-2.5
442.42,6.95,1.23925,372771.03,132.175,278.6,55.775,148363.1,32.975,88060.15,88.05,6.0,1.0,0.0,1005.45,992.55,998.65,83.2,1004.725,0.0,155.078,10.694,0.1,280.575,88.05,42021.824,4.8250003,4.15,-2.45
565.84,6.125,1.2425001,552245.75,169.825,276.8,68.775,224238.66,51.125,151302.25,68.675,6.0,1.0,0.0,1007.3,994.375,1000.45,73.5,1006.55,0.0,169.872,12.712,0.05,280.15,68.7,53471.676,4.575,3.775,-2.65
679.8,5.4,1.2444999,632149.06,175.75,275.025,79.575,267063.84,48.5,179319.97,40.225,6.0,1.0,0.0,1008.525,995.525,1001.6,64.55,1007.75,0.0,184.86975,13.019501,0.0,279.95,41.425,57627.926,4.3,3.875,-1.875
1154.7800000000002,5.2,1.244,593308.56,148.65,274.525,54.225,240823.53,96.125,260343.1,29.3,6.0,1.0,0.0,1009.175,996.15,1002.25,60.25,1008.35,0.0,199.7675,11.58975,0.0,280.3,36.0,58714.824,4.4,4.3,-0.9
392.04,5.2,1.24575,444491.47,94.95,274.5,39.7,169056.2,67.15,293904.75,26.5,6.0,1.0,0.0,1009.925,996.94995,1003.05005,59.3,1009.175,0.0,214.2995,8.54475,0.0,280.475,36.824997,58623.2,4.325,4.275,-0.75
80.08,5.2,1.2505,230472.88,34.75,274.525,20.225,107886.02,16.775,151120.28,51.75,6.0,1.0,0.25,1010.875,997.94995,1004.1,61.55,1010.19995,0.0,228.33426,4.1215,0.0,280.25,55.375,57157.1,3.95,3.95,-0.22500001
3.08,5.275,1.2555,51865.926,1.5,274.625,0.925,38091.426,0.0,30230.475,90.525,6.0,0.25,1.0,1011.775,998.9,1005.0,65.075005,1011.2,0.0,241.90475,-1.37325,0.0,279.85,90.8,55354.45,3.525,3.525,0.35
0.0,5.3,1.259,419.275,0.0,274.7,0.0,1683.8,0.0,0.0,99.4,6.0,0.0,1.0,1012.45,999.65,1005.8,66.9,1011.95,0.0,255.19325,-7.6064997,0.1,279.475,99.4,53106.375,3.275,3.225,0.6
0.0,5.3,1.26075,0.0,0.0,274.7,0.0,0.0,0.0,0.0,97.9,6.0,0.0,1.0,1013.125,1000.3,1006.425,68.225,1012.6,0.0,268.49274,-14.2355,0.1,279.225,97.9,52034.926,2.95,2.95,0.525
0.0,5.3,1.2625,0.0,0.0,274.75,0.0,0.0,0.0,0.0,91.05,6.0,0.0,1.0,1013.675,1000.85,1007.025,69.575,1013.175,0.0,282.1755,-20.902,0.1,279.025,91.05,51889.875,2.55,2.475,0.5
0.0,5.4,1.26425,0.0,0.0,274.84998,0.0,0.0,0.0,0.0,85.25,6.0,0.0,1.0,1014.075,1001.175,1007.35,71.45,1013.55,0.0,296.65625,-27.21575,0.1,278.8,85.325,51769.95,2.1,2.05,0.57500005
0.0,5.45,1.266,0.0,0.0,275.025,0.0,0.0,0.0,0.0,87.7,6.0,0.0,1.0,1014.375,1001.525,1007.65,73.6,1013.85,0.0,312.33075,-32.7335,0.075,278.575,87.75,51346.523,1.8,1.5,0.875
0.0,5.5,1.2674999,0.0,0.0,275.15002,0.0,0.0,0.0,0.0,89.775,6.0,0.0,1.0,1014.7,1001.8,1008.0,74.075,1014.2,0.0,329.42926,-36.95775,0.0,278.425,89.775,50213.023,1.7,0.925,1.4
0.0,5.5,1.269,0.0,0.0,275.17502,0.0,0.0,0.0,0.0,81.725,6.0,0.0,1.0,1014.825,1001.975,1008.15,73.3,1014.35,0.0,347.804,-39.399498,0.0,278.4,81.725,48814.176,1.6,0.575,1.475
0.0,5.525,1.2722499,0.0,0.0,275.17502,0.0,0.0,0.0,0.0,52.25,6.0,0.0,1.0,1014.8,1002.0,1008.2,74.0,1014.42505,0.0,96.794754,-39.7145,0.0,278.4,52.375,46692.7,1.4,0.4,1.3499999
0.0,5.3500004,1.27975,0.0,0.0,274.65,0.0,0.0,0.0,0.0,10.625,6.0,0.0,1.0,1014.2,1001.35,1007.55,82.25,1013.8,0.0,24.33875,-38.362,0.0,277.17502,15.425,41622.8,2.3,0.95,2.1
0.0,5.3,1.28175,0.0,0.0,274.375,0.0,0.0,0.0,0.0,8.2,6.0,0.0,1.0,1014.3,1001.5,1007.7,81.45,1014.0,0.0,41.97025,-34.70025,0.0,277.1,9.05,41502.7,2.025,0.75,1.875
0.0,5.25,1.2822499,0.0,0.0,274.32498,0.0,0.0,0.0,0.0,30.05,6.0,0.0,1.0,1014.2,1001.4,1007.65,80.8,1013.9,0.0,58.1565,-29.567501,0.0,277.2,44.699997,40874.1,1.75,0.575,1.65
0.0,5.3,1.2815,0.0,0.0,274.45,0.0,0.0,0.0,0.0,69.675,6.0,0.0,1.0,1014.15,1001.3,1007.5,80.85,1013.8,0.0,73.025,-23.47125,0.0,277.375,94.325,39075.273,1.275,0.32500002,1.25
0.0,5.4,1.281,0.0,0.0,274.725,0.0,0.0,0.0,0.0,82.899994,6.0,0.0,1.0,1014.175,1001.3,1007.525,82.925,1013.8,0.0,86.939,-16.878,0.0,277.5,88.5,35346.83,0.975,-0.1,0.95
0.0,5.55,1.27825,0.0,0.0,275.15,0.0,0.0,0.0,0.0,69.325,6.0,0.0,1.0,1014.05,1001.2,1007.4,84.0,1013.675,0.0,100.321,-10.195499,0.0,277.65,69.7,34609.0,0.975,-0.57500005,0.8
0.0,5.6,1.27275,0.0,0.0,275.375,0.0,0.0,0.0,0.0,53.675,6.0,0.0,1.0,1013.85,1000.925,1007.125,83.0,1013.4,0.0,113.563,-3.78875,0.0,278.0,57.4,42726.0,0.975,-0.7,0.65
320.53999999999996,5.7,1.2695,15017.399,15.35,275.65,9.725,17544.102,2.15,3851.625,54.75,6.0,0.75,0.75,1013.7,1000.775,1006.975,83.9,1013.2,0.0,126.989746,1.9955,0.0,278.225,72.225,46569.85,0.9,-0.85,0.35
1868.02,5.9,1.265,144705.88,68.3,276.1,40.775,90913.55,22.525,44395.5,68.825,6.0,1.0,0.0,1013.65,1000.675,1006.85,83.725,1013.07495,0.0,140.825,6.82175,0.0,278.34998,97.2,47555.2,0.95,-0.9,-0.1
437.58,6.125,1.2592499,353872.56,126.425,276.725,63.625,187858.25,41.65,115533.07,66.225,6.0,1.0,0.0,1013.55,1000.57495,1006.725,83.65,1012.92505,0.0,155.1575,10.373,0.0,278.575,98.175,48014.348,1.0,-0.8,-0.575
2953.06,6.3500004,1.2545,530607.5,163.625,277.25,62.825,227580.66,93.225,242817.9,50.725,6.0,1.0,0.0,1013.5,1000.475,1006.625,83.55,1012.775,0.0,169.9145,12.38375,0.0,278.925,92.625,49623.55,1.15,-0.8,-0.85
2795.98,6.475,1.251,609588.56,169.45,277.6,52.425,207440.17,123.525,390204.12,34.2,6.0,1.0,0.0,1013.275,1000.25,1006.4,82.2,1012.55,0.0,184.87175,12.688749,0.0,279.425,66.65,51662.85,1.7249999,-1.3,-1.15
2254.12,6.6499996,1.2492499,571000.7,142.6,277.95,47.149998,179220.5,106.55,414205.72,19.25,6.0,1.0,0.0,1012.75,999.8,1005.9,82.175,1012.05,0.0,199.73026,11.26125,0.0,279.85,38.525,50995.05,2.175,-1.65,-1.4
1324.18,6.8,1.2492499,423938.3,89.725,278.25,37.225,151867.28,65.025,308832.1,17.325,6.0,1.0,0.0,1012.05005,999.05005,1005.15,83.475,1011.30005,0.0,214.22775,8.2215,0.0,280.2,34.65,48696.227,2.35,-1.775,-1.525
322.74,6.775,1.2515,214840.44,31.525,278.2,16.025,95890.7,18.95,151113.08,0.0,6.0,1.0,0.25,1011.325,998.4,1004.525,84.825,1010.7,0.0,228.23474,3.80625,0.0,280.4,0.0,46010.324,2.575,-2.175,-1.4
2.86,6.6,1.25775,44909.977,0.925,277.8,0.25,29366.775,0.0,34111.273,0.0,6.0,0.25,1.0,1010.975,998.25,1004.35,87.025,1010.55,0.0,241.7845,-1.68125,0.0,280.3,0.0,42610.95,2.025,-1.85,-0.7
0.0,6.225,1.26625,261.65,0.0,276.875,0.0,471.1,0.0,0.0,4.3250003,6.0,0.0,1.0,1010.375,997.725,1003.9,90.075,1010.1,0.0,255.05875,-7.9095,0.0,280.125,4.3250003,37406.8,2.1,-2.1,-0.05
0.0,5.8500004,1.271,0.0,0.0,275.925,0.0,0.0,0.0,0.0,17.525,6.0,0.0,1.0,1009.95,997.325,1003.5,91.125,1009.725,0.0,268.3495,-14.53575,0.0,280.0,17.525,35879.773,1.925,-1.925,0.22500001
0.0,5.775,1.27175,0.0,0.0,275.67502,0.0,0.0,0.0,0.0,52.125,6.0,0.0,1.0,1009.775,997.15,1003.35,89.15,1009.57495,0.0,282.03052,-21.204,0.0,279.9,52.25,38330.824,1.55,-1.5,0.375
0.0,5.75,1.2695,0.0,0.0,275.7,0.0,0.0,0.0,0.0,89.4,6.0,0.0,1.0,1009.625,996.95,1003.125,85.65,1009.35,0.0,296.51874,-27.52375,0.0,279.7,89.8,42069.25,1.25,-1.225,0.425
0.0,5.8,1.2655001,0.0,0.0,275.9,0.0,0.0,0.0,0.0,90.6,6.0,0.0,1.0,1009.5,996.8,1002.9,83.125,1009.1,0.0,312.21375,-33.0495,0.05,279.65002,91.825,44544.453,1.075,-1.05,0.25
0.0,5.8,1.2625,0.0,0.0,275.9,0.0,0.0,0.0,0.0,100.0,6.0,0.0,1.0,1009.4,996.65,1002.8,81.725,1009.0,0.0,329.3505,-37.2825,0.22500001,279.75,100.0,46106.1,1.4,-1.4,0.2
0.0,5.8500004,1.2605,0.0,0.0,276.0,0.0,0.0,0.0,0.0,100.0,6.0,0.0,1.0,1009.2,996.4,1002.55,79.975,1008.725,0.0,347.78174,-39.7295,0.22500001,280.15,100.0,46604.15,1.775,-1.775,-0.025000002
0.0,5.9,1.25875,0.0,0.0,276.125,0.0,0.0,0.0,0.0,100.0,6.0,0.0,1.0,1009.025,996.3,1002.4,79.1,1008.6,0.0,96.837006,-40.04375,0.125,280.225,100.0,46942.426,1.7,-1.6,-0.55
0.0,6.0,1.26025,0.0,0.0,276.32498,0.0,0.0,0.0,0.0,85.475,6.0,0.0,1.0,1008.0,995.25,1001.35,80.1,1007.55,0.0,24.432251,-38.680748,0.0,280.1,99.35,43629.1,1.75,-1.75,-0.45
0.0,6.075,1.26,0.0,0.0,276.525,0.0,0.0,0.0,0.0,94.7,6.0,0.0,1.0,1007.55,994.775,1000.9,81.5,1007.075,0.05,42.1065,-35.00775,0.0,280.25,100.0,41072.727,1.85,-1.85,-0.425
0.0,6.2,1.25875,0.0,0.0,276.75,0.0,0.0,0.0,0.0,97.95,6.0,0.0,1.0,1007.625,994.85,1000.975,83.35,1007.15,0.375,58.316,-29.86375,0.075,280.0,100.0,35027.375,1.3,-0.95,-0.65
0.0,6.3,1.25875,0.0,0.0,277.05,0.0,0.0,0.0,0.0,100.0,6.0,0.0,1.0,1008.225,995.42505,1001.55,85.5,1007.725,0.875,73.1935,-23.75975,0.2,279.15002,100.0,15308.75,0.925,0.625,0.099999994
0.0,6.5,1.25975,0.0,0.0,277.475,0.0,0.0,0.0,0.0,100.0,6.0,0.0,1.0,1008.175,995.375,1001.55,89.55,1007.725,0.825,87.107254,-17.163,0.15,279.0,100.0,5201.975,1.475,0.5,1.375
0.0,6.55,1.2595,0.0,0.0,277.6,0.0,0.0,0.0,0.0,100.0,6.0,0.0,1.0,1008.325,995.525,1001.675,91.575,1007.825,0.35,100.482,-10.4817505,0.125,279.225,100.0,5531.95,2.025,0.95,1.8
0.0,6.7,1.2572501,0.0,0.0,277.95,0.0,0.0,0.0,0.0,96.725,6.0,0.0,1.0,1008.5,995.7,1001.825,90.15,1008.0,0.1,113.71175,-4.08075,0.125,280.1,96.725,7976.55,1.675,0.425,1.625
8.8,6.8250003,1.2544999,12773.4,13.475,278.275,9.275001,16682.45,1.7,3070.425,66.875,6.0,0.75,0.75,1008.725,995.92505,1002.05,89.175,1008.225,0.0,127.1205,1.6954999,0.0,280.8,66.875,18881.324,1.2,-0.4,1.1
225.93999999999997,6.975,1.2505,132776.66,63.9,278.625,33.675,77261.3,31.925,60494.83,22.325,6.0,1.0,0.0,1008.9,996.07495,1002.175,88.375,1008.325,0.0,140.9315,6.51225,0.0,281.475,22.325,35619.7,1.125,-0.975,0.575
577.72,7.375,1.24425,335446.44,120.8,279.5,44.0,139725.03,84.375,209312.0,2.425,6.0,1.0,0.0,1009.15,996.3,1002.375,88.525,1008.5,0.0,155.23325,10.054501,0.0,281.95,2.425,41296.8,1.0,-0.95,0.25
932.36,7.875,1.2405,509349.5,157.55,280.5,49.575,168390.3,112.225,353939.03,37.8,6.0,1.0,0.0,1009.4,996.55,1002.6,89.7,1008.7,0.0,169.95325,12.059,0.0,282.1,41.85,40776.426,0.57500005,-0.57500005,-0.05
796.18,8.275,1.239,587402.44,163.3,281.225,71.325,217595.45,49.775,291639.56,92.0,6.0,1.0,0.0,1009.475,996.7,1002.75,89.35,1008.85,0.0,184.87076,12.3615,0.05,282.35,94.875,39481.125,0.45,-0.32500002,-0.25
566.72,8.4,1.239,549109.4,136.675,281.425,52.125,222181.6,12.575,112217.17,97.7,6.0,1.0,0.0,1009.675,996.925,1002.975,87.65,1009.05,0.0,199.69,10.936251,0.1,282.6,98.8,37503.824,0.55,0.125,-0.5
247.5,8.25,1.24,403903.3,84.65,281.15,33.9,154800.47,13.325,46636.0,70.325,6.0,1.0,0.0,1010.0,997.225,1003.275,87.3,1009.375,0.0,214.15375,7.90275,0.05,282.525,74.8,36582.4,0.85,0.0,-0.825
54.779999999999994,7.875,1.245,199893.83,28.45,280.45,15.05,87994.65,7.2,36984.426,51.35,6.0,1.0,0.5,1010.3,997.5,1003.575,88.4,1009.7,0.0,228.13324,3.49475,0.0,282.425,51.35,39129.75,1.0,-0.7,-0.7
0.0,7.45,1.25125,38244.152,0.375,279.6,0.125,27228.324,0.0,12977.449,86.7,6.0,0.25,1.0,1010.55,997.775,1003.925,89.15,1010.05,0.0,241.6625,-1.98525,0.0,282.3,86.799995,38115.273,1.1,-1.05,0.15
0.0,7.3500004,1.25375,106.15,0.0,279.4,0.0,203.775,0.0,0.0,94.975,6.0,0.0,1.0,1010.85,998.175,1004.3,88.649994,1010.45,0.0,254.92224,-8.20775,0.0,282.3,95.075,38500.977,1.1,-0.725,0.825
0.0,7.25,1.2555001,0.0,0.0,279.15002,0.0,0.0,0.0,0.0,77.125,6.0,0.0,1.0,1011.15,998.525,1004.65,88.05,1010.8,0.0,268.20526,-14.8315,0.0,282.125,77.225,39597.6,1.1750001,-0.55,1.0
0.0,7.1,1.2585,0.0,0.0,278.8,0.0,0.0,0.0,0.0,35.075,6.0,0.0,1.0,1011.3,998.8,1004.9,86.775,1011.1,0.0,281.88348,-21.5015,0.0,281.75,39.375,38988.926,1.2,-0.375,1.1
0.0,6.8,1.2615,0.0,0.0,278.175,0.0,0.0,0.0,0.0,28.05,6.0,0.0,1.0,1011.45,998.9,1005.05,86.125,1011.225,0.0,296.37875,-27.82625,0.0,281.45,55.775,34628.15,1.1500001,-0.35,1.075
0.0,6.5,1.2645,0.0,0.0,277.5,0.0,0.0,0.0,0.0,40.775,6.0,0.0,1.0,1011.7,999.1,1005.2,86.3,1011.4,0.0,312.094,-33.36075,0.0,281.1,81.025,32707.574,1.1,-0.325,1.05
0.0,6.375,1.26675,0.0,0.0,277.125,0.0,0.0,0.0,0.0,20.375,6.0,0.0,1.0,1011.75,999.125,1005.3,86.7,1011.475,0.0,329.2685,-37.60275,0.0,280.85,40.375,39402.125,1.15,-0.52500004,1.025
0.0,6.3250003,1.2665,0.0,0.0,277.05,0.0,0.0,0.0,0.0,26.275002,6.0,0.0,1.0,1011.9,999.25,1005.4,87.65,1011.6,0.0,347.7555,-40.055748,0.0,280.425,40.175,39590.55,1.025,-0.5,0.875
0.0,6.1499996,1.2685,0.0,0.0,276.65,0.0,0.0,0.0,0.0,51.025,6.0,0.0,1.0,1012.0,999.275,1005.42505,88.2,1011.65,0.0,96.876,-40.36925,0.0,279.9,70.025,36789.727,1.125,-0.9,0.725
0.0,6.0,1.2705,0.0,0.0,276.3,0.0,0.0,0.0,0.0,48.625,6.0,0.0,1.0,1012.07495,999.4,1005.6,87.1,1011.8,0.0,24.522,-38.99625,0.0,280.025,93.65,41546.375,1.3499999,-1.3,0.35
0.0,5.95,1.2695,0.0,0.0,276.15002,0.0,0.0,0.0,0.0,51.0,6.0,0.0,1.0,1012.025,999.25,1005.425,86.85,1011.65,0.0,42.238,-35.3125,0.0,279.6,100.0,43092.1,1.45,-1.45,0.05
0.0,5.9,1.26975,0.0,0.0,276.1,0.0,0.0,0.0,0.0,50.5,6.0,0.0,1.0,1011.725,998.975,1005.175,86.075,1011.375,0.0,58.471,-30.158,0.0,279.45,100.0,42835.8,1.7,-1.7,0.0
0.0,6.0,1.2674999,0.0,0.0,276.2,0.0,0.0,0.0,0.0,50.2,6.0,0.0,1.0,1011.4,998.675,1004.85,85.45,1011.05,0.0,73.3575,-24.04625,0.0,279.425,100.0,44219.8,1.75,-1.75,-0.15
0.0,5.9,1.268,0.0,0.0,276.1,0.0,0.0,0.0,0.0,48.775,6.0,0.0,1.0,1011.05,998.35,1004.525,85.725,1010.725,0.0,87.27075,-17.446249,0.0,279.45,97.5,43682.1,2.05,-2.05,-0.1
0.0,5.8250003,1.27,0.0,0.0,275.9,0.0,0.0,0.0,0.0,47.95,6.0,0.0,1.0,1010.775,998.0,1004.2,86.6,1010.4,0.0,100.638504,-10.766,0.0,279.325,95.85,41773.676,2.2,-2.2,0.075
1.54,5.775,1.269,0.0,0.0,275.725,0.0,0.0,0.0,0.0,48.075,6.0,0.0,1.0,1010.55,997.675,1003.85,87.35,1010.075,0.0,113.856,-4.3702497,0.0,279.1,95.8,43391.574,2.175,-2.175,0.05
158.84,5.8,1.2655001,10591.175,11.65,275.85,8.625,15505.75,2.65,4776.05,46.925,6.0,0.75,0.75,1010.15,997.2,1003.35,87.75,1009.55,0.0,127.24725,1.398,0.0,278.875,92.175,44342.0,2.225,-2.225,-0.1
1653.96,6.025,1.2605,121364.95,59.675,276.45,39.825,87195.8,23.6,47292.0,42.15,6.0,1.0,0.0,1009.825,996.875,1003.025,87.45,1009.225,0.0,141.03424,6.2055,0.0,278.775,80.975,43967.65,2.225,-2.2,-0.15
2347.4,6.35,1.255,317510.97,115.25,277.175,51.25,163963.38,70.35,169194.1,24.375,6.0,1.0,0.0,1009.275,996.30005,1002.45,85.725,1008.55,0.0,155.305,9.739,0.0,279.25,44.125,44655.9,2.55,-2.55,-0.5
2719.64,6.675,1.247,488487.2,151.55,278.05,48.125,178896.42,113.875,331657.6,29.95,6.0,1.0,0.0,1008.25,995.275,1001.35,83.2,1007.475,0.0,169.98825,11.7375,0.0,280.35,54.1,45351.4,2.9,-2.8,-0.75
2245.1,7.025,1.2405,565604.94,157.2,278.8,58.55,192022.72,101.225,387210.72,52.95,6.0,1.0,0.0,1007.1,994.2,1000.275,81.675,1006.35,0.0,184.8665,12.03825,0.0,281.475,97.725,37573.45,3.15,-3.05,-0.925
635.8000000000001,7.1499996,1.237,527648.94,130.875,279.075,66.9,225790.58,55.5,282177.03,57.3,6.0,1.0,0.0,1005.75,992.975,999.0,80.5,1005.075,0.0,199.6475,10.61575,0.0,282.25,99.6,33385.55,3.325,-3.3,-0.325
