pv_measurement,absolute_humidity_2m:gm3,air_density_2m:kgm3,clear_sky_energy_1h:J,clear_sky_rad:W,dew_point_2m:K,diffuse_rad:W,diffuse_rad_1h:J,direct_rad:W,direct_rad_1h:J,effective_cloud_cover:p,elevation:m,is_day:idx,is_in_shadow:idx,msl_pressure:hPa,pressure_100m:hPa,pressure_50m:hPa,relative_humidity_1000hPa:p,sfc_pressure:hPa,snow_water:kgm2,sun_azimuth:d,sun_elevation:d,super_cooled_liquid_water:kgm2,t_1000hPa:K,total_cloud_cover:p,visibility:m,wind_speed_10m:ms,wind_speed_u_10m:ms,wind_speed_v_10m:ms
-0.0,8.4,1.2325001,0.0,0.0,281.45,0.0,0.0,0.0,0.0,100.0,7.0,0.0,1.0,1000.65,987.95,993.95,92.649994,999.975,0.47500002,347.82373,-39.065002,0.0,284.67502,100.0,20688.85,0.7,-0.32500002,0.625
-0.0,8.35,1.232,0.0,0.0,281.225,0.0,0.0,0.0,0.0,100.0,7.0,0.0,1.0,999.6,986.9,992.9,92.925,998.95,0.7,96.749,-39.382,0.0,284.325,100.0,5621.425,0.775,0.425,0.525
-0.0,8.1,1.229,0.0,0.0,280.9,0.0,0.0,0.0,0.0,100.0,7.0,0.0,1.0,997.0,984.3,990.3,89.2,996.325,1.175,24.24175,-38.04,0.2,283.875,100.0,3271.625,1.5,1.05,0.95
-0.0,8.2,1.22825,0.0,0.0,281.05,0.0,0.0,0.0,0.0,100.0,7.0,0.0,1.0,996.35,983.65,989.65,90.175,995.75,0.9,41.83075,-34.38975,0.25,284.35,100.0,3244.6,1.575,1.0,1.2
-0.0,8.375,1.22675,0.0,0.0,281.34998,0.0,0.0,0.0,0.0,100.0,7.0,0.0,1.0,996.175,983.475,989.475,92.325,995.475,1.0,57.9935,-29.26825,0.25,284.525,100.0,2529.6,2.1999998,1.85,1.1500001
-0.0,8.55,1.22325,0.0,0.0,281.675,0.0,0.0,0.0,0.0,100.0,7.0,0.0,1.0,996.35,983.65,989.65,90.775,995.65,1.275,72.85275,-23.18025,0.35000002,284.65,100.0,2222.325,4.55,4.275,1.625
-0.0,8.725,1.221,0.0,0.0,282.075,0.0,0.0,0.0,0.0,100.0,7.0,0.0,1.0,997.05,984.35,990.35,88.525,996.35,1.2,86.7675,-16.59075,0.22500001,284.45,100.0,2162.175,6.9,6.725,0.95
-0.0,8.5,1.22525,0.0,0.0,281.6,0.0,0.0,0.0,0.0,100.0,7.0,0.0,1.0,998.425,985.7,991.675,91.6,997.7,0.6,100.15625,-9.907,0.22500001,283.025,100.0,3706.775,5.6,5.3,-1.9
-0.0,8.05,1.2305,0.0,0.0,280.75,0.0,0.0,0.0,0.0,100.0,7.0,0.0,1.0,1000.075,987.25,993.275,91.975,999.3,0.1,113.41075,-3.4950001,0.32500002,281.95,100.0,9512.3,4.7,4.3500004,-1.8499999
4.727003105018749,7.8,1.23325,18853.398,17.775,280.325,5.75,10374.275,0.55,1005.775,97.15,7.0,1.0,0.5,1001.6,988.7,994.7,91.5,1000.8,0.0,126.855,2.2975001,0.32500002,281.55,97.15,18038.676,4.8,4.375,-1.925
53.55888114497186,7.45,1.2365,157290.34,72.875,279.675,26.7,58405.324,16.025,29819.25,88.8,7.0,1.0,0.0,1003.35,990.45,996.45,89.1,1002.55,0.0,140.71475,7.13375,0.125,281.025,88.8,28192.025,4.95,4.3,-2.5
98.6635318695625,6.95,1.2405,372760.06,132.175,278.6,55.775,148487.03,33.05,88274.42,87.875,7.0,1.0,0.0,1005.35,992.45,998.5,83.175,1004.575,0.0,155.07875,10.694,0.1,280.575,87.875,41403.074,4.8250003,4.15,-2.45
91.59584878378438,6.125,1.2445,552226.6,169.825,276.8,68.775,224282.62,51.225,151693.08,68.6,7.0,1.0,0.0,1007.2,994.25,1000.325,73.45,1006.425,0.0,169.87274,12.712,0.05,280.15,68.625,52411.176,4.575,3.775,-2.65
91.92266200485312,5.4,1.24675,632123.4,175.75,275.0,79.55,267045.7,48.575,179668.8,40.225,7.0,1.0,0.0,1008.425,995.4,1001.5,64.525,1007.6,0.0,184.8705,13.01875,0.0,279.95,41.45,56335.125,4.3,3.8999999,-1.875
114.44196517763125,5.2,1.246,593278.8,148.625,274.525,54.225,240789.75,96.125,260457.25,29.225,7.0,1.0,0.0,1009.075,996.05,1002.125,60.15,1008.25,0.0,199.76825,11.589251,0.0,280.3,35.95,57517.625,4.4,4.3,-0.9
47.16329755623125,5.2,1.2472501,444461.62,94.95,274.4,39.725002,169060.47,67.125,293871.3,26.525,7.0,1.0,0.0,1009.85,996.85,1002.94995,59.275,1009.05005,0.0,214.30025,8.54375,0.0,280.475,36.825,57716.05,4.325,4.275,-0.75
10.65884688075,5.2,1.2509999,230449.38,34.75,274.475,20.225,107895.27,16.775,151059.5,51.75,7.0,1.0,0.25,1010.825,997.85,1003.94995,61.45,1010.1,0.0,228.33475,4.1215,0.0,280.25,55.350002,56779.0,3.95,3.95,-0.22500001
5.329423440375,5.275,1.255,51855.676,1.5,274.625,0.925,38087.227,0.0,30208.775,90.525,7.0,0.25,1.0,1011.8,998.8,1004.9,65.05,1011.05005,0.0,241.9055,-1.3735,0.0,279.85,90.85,55630.25,3.525,3.525,0.35
-0.0,5.3,1.25675,419.05,0.0,274.7,0.0,1681.7,0.0,0.0,99.4,7.0,0.0,1.0,1012.55,999.5,1005.65,66.85,1011.825,0.0,255.194,-7.607,0.1,279.475,99.4,54400.926,3.3,3.225,0.6
-0.0,5.3,1.25775,0.0,0.0,274.7,0.0,0.0,0.0,0.0,97.875,7.0,0.0,1.0,1013.225,1000.175,1006.3,68.2,1012.5,0.0,268.49374,-14.23575,0.1,279.25,97.875,53756.324,2.95,2.95,0.525
-0.0,5.3,1.2595,0.0,0.0,274.75,0.0,0.0,0.0,0.0,91.05,7.0,0.0,1.0,1013.85,1000.75,1006.875,69.55,1013.05,0.0,282.17627,-20.902,0.1,279.025,91.05,53719.85,2.55,2.5,0.5
-0.0,5.375,1.26075,0.0,0.0,274.84998,0.0,0.0,0.0,0.0,85.25,7.0,0.0,1.0,1014.2,1001.05,1007.225,71.45,1013.4,0.0,296.65726,-27.216,0.1,278.8,85.325,53719.6,2.15,2.05,0.55
-0.0,5.425,1.26275,0.0,0.0,275.025,0.0,0.0,0.0,0.0,87.7,7.0,0.0,1.0,1014.525,1001.375,1007.55,73.6,1013.75,0.0,312.33148,-32.7335,0.075,278.6,87.75,53329.8,1.8,1.525,0.875
-0.0,5.5,1.26425,0.0,0.0,275.125,0.0,0.0,0.0,0.0,89.75,7.0,0.0,1.0,1014.825,1001.7,1007.85,74.05,1014.05,0.0,329.43,-36.95775,0.0,278.425,89.75,52181.375,1.7,0.95,1.4
-0.0,5.5,1.2655001,0.0,0.0,275.17502,0.0,0.0,0.0,0.0,81.75,7.0,0.0,1.0,1015.0,1001.825,1008.0,73.3,1014.225,0.0,347.805,-39.3985,0.0,278.4,81.75,50877.023,1.6,0.575,1.475
-0.0,5.5,1.26825,0.0,0.0,275.17502,0.0,0.0,0.0,0.0,52.35,7.0,0.0,1.0,1015.0,1001.9,1008.1,73.975,1014.3,0.0,96.79525,-39.71425,0.0,278.4,52.449997,49194.25,1.4,0.4,1.3499999
