pv_measurement,absolute_humidity_2m:gm3,air_density_2m:kgm3,clear_sky_energy_1h:J,clear_sky_rad:W,dew_point_2m:K,diffuse_rad:W,diffuse_rad_1h:J,direct_rad:W,direct_rad_1h:J,effective_cloud_cover:p,elevation:m,is_day:idx,is_in_shadow:idx,msl_pressure:hPa,pressure_100m:hPa,pressure_50m:hPa,relative_humidity_1000hPa:p,sfc_pressure:hPa,snow_water:kgm2,sun_azimuth:d,sun_elevation:d,super_cooled_liquid_water:kgm2,t_1000hPa:K,total_cloud_cover:p,visibility:m,wind_speed_10m:ms,wind_speed_u_10m:ms,wind_speed_v_10m:ms
-0.0,8.275,1.23075,0.0,0.0,281.15002,0.0,0.0,0.0,0.0,100.0,24.0,0.0,1.0,1000.575,985.55,991.55,93.45,997.575,0.475,347.81226,-39.1025,0.0,285.1,100.0,23993.125,1.2,-0.15,1.1750001
-0.0,8.05,1.231,0.0,0.0,280.8,0.0,0.0,0.0,0.0,100.0,24.0,0.0,1.0,999.475,984.475,990.475,93.025,996.5,0.65,96.748,-39.42075,0.0,284.7,100.0,6108.05,1.2,0.525,1.025
0.0,8.1,1.2275,0.0,0.0,280.84998,0.0,0.0,0.0,0.0,100.0,24.0,0.0,1.0,996.95,981.925,987.9,89.3,993.925,1.1,24.2495,-38.076,0.22500001,284.225,100.0,3353.675,2.05,1.3,1.575
0.0,8.225,1.22575,0.0,0.0,281.05,0.0,0.0,0.0,0.0,100.0,24.0,0.0,1.0,996.375,981.35,987.325,90.275,993.35,0.8,41.844498,-34.42,0.25,284.75,100.0,3417.075,1.9,0.95,1.6
0.0,8.45,1.2235,0.0,0.0,281.45,0.0,0.0,0.0,0.0,100.0,24.0,0.0,1.0,996.225,981.125,987.07495,92.525,993.07495,0.9,58.008,-29.29025,0.22500001,284.775,100.0,2626.7,2.3,1.65,1.55
0.0,8.75,1.22075,0.0,0.0,281.975,0.0,0.0,0.0,0.0,100.0,24.0,0.0,1.0,996.45,981.375,987.35,91.25,993.325,1.2,72.86525,-23.193249,0.375,284.75,100.0,2266.525,4.0,3.5749998,1.75
0.0,8.9,1.21875,0.0,0.0,282.375,0.0,0.0,0.0,0.0,100.0,24.0,0.0,1.0,997.15,982.05005,988.0,88.95,994.0,1.25,86.77575,-16.5945,0.275,284.55,100.0,2133.425,6.2,6.0249996,1.025
0.0,8.65,1.223,0.0,0.0,281.85,0.0,0.0,0.0,0.0,100.0,24.0,0.0,1.0,998.5,983.35,989.3,92.375,995.32495,0.7,100.1595,-9.9015,0.2,283.15,100.0,3207.55,5.5,5.275,-1.6
0.0,8.15,1.229,0.0,0.0,280.95,0.0,0.0,0.0,0.0,100.0,24.0,0.0,1.0,1000.175,984.95,990.95,93.775,997.0,0.1,113.4095,-3.481,0.35,281.9,100.0,6922.625,4.4,3.9,-1.9499999
0.0,7.925,1.23125,19142.0,18.0,280.55,4.85,8685.45,0.0,0.0,99.725,24.0,1.0,1.0,1001.7,986.4,992.4,93.55,998.425,0.025,126.850494,2.3195,0.425,281.5,99.725,13520.625,4.525,4.0,-2.1
